20230613,  Home (?),  TG-12,  -1.082239,  910.144233,  2.053492,  6.350000,  6.350000,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  06/13/23 11:10:59,  ,  AT960-LR 750836,  Reflector 'T-Probe #238~#000266 (12.7 mm)' ADM Offset = 0.000000 mm,  Target 'T-Probe #238~#000266 (12.7 mm)',  RMS Error 0.013601 mm,  Weather:T=23.5C,P=971.6hPA(mbar),H=35.1%,  Measure Time Discrete Point Standard Pt. To SA Parameters:,  Start Trigger= Taste/Verzögert,  Messverzögerung=0.000000,  Measure Time (Sec)=1.500000,  Punkte=1,  Lage I/II=Falsch,  Face 1. std components: d = 1000.000000 mm, h = 0.000000, v = 0.000000 deg. Level Compensation OFF
20230613,  Home (?),  TG-1,  21.083232,  910.903016,  34.148213,  6.350000,  6.350000,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  06/13/23 11:11:09,  ,  AT960-LR 750836,  Reflector 'T-Probe #238~#000266 (12.7 mm)' ADM Offset = 0.000000 mm,  Target 'T-Probe #238~#000266 (12.7 mm)',  RMS Error 0.022875 mm,  Weather:T=23.5C,P=971.6hPA(mbar),H=35.1%,  Measure Time Discrete Point Standard Pt. To SA Parameters:,  Start Trigger= Taste/Verzögert,  Messverzögerung=0.000000,  Measure Time (Sec)=1.500000,  Punkte=1,  Lage I/II=Falsch,  Face 1. std components: d = 1000.000000 mm, h = 0.000000, v = 0.000000 deg. Level Compensation OFF
20230613,  Home (?),  TG-10,  -2.754309,  834.321255,  58.689819,  6.350000,  6.350000,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  06/13/23 11:11:27,  ,  AT960-LR 750836,  Reflector 'T-Probe #238~#000266 (12.7 mm)' ADM Offset = 0.000000 mm,  Target 'T-Probe #238~#000266 (12.7 mm)',  RMS Error 0.014883 mm,  Weather:T=23.5C,P=971.6hPA(mbar),H=35.1%,  Measure Time Discrete Point Standard Pt. To SA Parameters:,  Start Trigger= Taste/Verzögert,  Messverzögerung=0.000000,  Measure Time (Sec)=1.500000,  Punkte=1,  Lage I/II=Falsch,  Face 1. std components: d = 1000.000000 mm, h = 0.000000, v = 0.000000 deg. Level Compensation OFF
20230613,  Home (?),  TG-11,  52.209170,  727.248706,  57.963231,  6.350000,  6.350000,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  06/13/23 11:11:36,  ,  AT960-LR 750836,  Reflector 'T-Probe #238~#000266 (12.7 mm)' ADM Offset = 0.000000 mm,  Target 'T-Probe #238~#000266 (12.7 mm)',  RMS Error 0.017096 mm,  Weather:T=23.5C,P=971.6hPA(mbar),H=35.1%,  Measure Time Discrete Point Standard Pt. To SA Parameters:,  Start Trigger= Taste/Verzögert,  Messverzögerung=0.000000,  Measure Time (Sec)=1.500000,  Punkte=1,  Lage I/II=Falsch,  Face 1. std components: d = 1000.000000 mm, h = 0.000000, v = 0.000000 deg. Level Compensation OFF
20230613,  LH2 (10mm),  TC5,  -121.375810,  432.124308,  -158.787508,  6.350000,  6.350000,  ,  ,  ,  ,  ,  ,  ,  ,  0.015077,  0.014542,  0.014560,  0.025510,  ,  ,  ,  06/13/23 10:23:41,  ,  AT960-LR 750836,  Reflector 'T-Probe #238~#000266 (12.7 mm)' ADM Offset = 0.000000 mm,  Target 'T-Probe #238~#000266 (12.7 mm)',  RMS Error 0.017986 mm,  Weather:T=23.3C,P=971.6hPA(mbar),H=35.1%,  Measure Time Discrete Point Standard Pt. To SA Parameters:,  Start Trigger= Taste/Verzögert,  Messverzögerung=0.000000,  Measure Time (Sec)=1.500000,  Punkte=1,  Lage I/II=Falsch,  Face 1. std components: d = 1000.000000 mm, h = 0.000000, v = 0.000000 deg. Level Compensation OFF
20230613,  LH2 (10mm),  TC4,  90.738809,  430.982774,  -144.061906,  6.350000,  6.350000,  ,  ,  ,  ,  ,  ,  ,  ,  0.014532,  0.013578,  0.013618,  0.024104,  ,  ,  ,  06/13/23 10:23:47,  ,  AT960-LR 750836,  Reflector 'T-Probe #238~#000266 (12.7 mm)' ADM Offset = 0.000000 mm,  Target 'T-Probe #238~#000266 (12.7 mm)',  RMS Error 0.017215 mm,  Weather:T=23.3C,P=971.6hPA(mbar),H=35.1%,  Measure Time Discrete Point Standard Pt. To SA Parameters:,  Start Trigger= Taste/Verzögert,  Messverzögerung=0.000000,  Measure Time (Sec)=1.500000,  Punkte=1,  Lage I/II=Falsch,  Face 1. std components: d = 1000.000000 mm, h = 0.000000, v = 0.000000 deg. Level Compensation OFF
20230613,  LH2 (10mm),  TC3,  162.936271,  432.897086,  -147.588210,  6.350000,  6.350000,  ,  ,  ,  ,  ,  ,  ,  ,  0.014342,  0.013244,  0.013293,  0.023617,  ,  ,  ,  06/13/23 10:23:51,  ,  AT960-LR 750836,  Reflector 'T-Probe #238~#000266 (12.7 mm)' ADM Offset = 0.000000 mm,  Target 'T-Probe #238~#000266 (12.7 mm)',  RMS Error 0.021942 mm,  Weather:T=23.3C,P=971.6hPA(mbar),H=35.1%,  Measure Time Discrete Point Standard Pt. To SA Parameters:,  Start Trigger= Taste/Verzögert,  Messverzögerung=0.000000,  Measure Time (Sec)=1.500000,  Punkte=1,  Lage I/II=Falsch,  Face 1. std components: d = 1000.000000 mm, h = 0.000000, v = 0.000000 deg. Level Compensation OFF
20230613,  LH2 (10mm),  TG-5,  58.772840,  568.067123,  -52.026533,  6.350000,  6.350000,  ,  ,  ,  ,  ,  ,  ,  ,  0.014712,  0.013955,  0.013987,  0.024634,  ,  ,  ,  06/13/23 10:24:02,  ,  AT960-LR 750836,  Reflector 'T-Probe #238~#000266 (12.7 mm)' ADM Offset = 0.000000 mm,  Target 'T-Probe #238~#000266 (12.7 mm)',  RMS Error 0.017717 mm,  Weather:T=23.3C,P=971.6hPA(mbar),H=35.1%,  Measure Time Discrete Point Standard Pt. To SA Parameters:,  Start Trigger= Taste/Verzögert,  Messverzögerung=0.000000,  Measure Time (Sec)=1.500000,  Punkte=1,  Lage I/II=Falsch,  Face 1. std components: d = 1000.000000 mm, h = 0.000000, v = 0.000000 deg. Level Compensation OFF
20230613,  LH2 (10mm),  TG-10,  -2.744384,  675.306893,  58.707370,  6.350000,  6.350000,  ,  ,  ,  ,  ,  ,  ,  ,  0.014996,  0.014486,  0.014511,  0.025403,  ,  ,  ,  06/13/23 10:39:19,  ,  AT960-LR 750836,  Reflector 'T-Probe #238~#000266 (12.7 mm)' ADM Offset = 0.000000 mm,  Target 'T-Probe #238~#000266 (12.7 mm)',  RMS Error 0.023918 mm,  Weather:T=23.3C,P=971.6hPA(mbar),H=35.1%,  Measure Time Discrete Point Standard Pt. To SA Parameters:,  Start Trigger= Taste/Verzögert,  Messverzögerung=0.000000,  Measure Time (Sec)=1.500000,  Punkte=1,  Lage I/II=Falsch,  Face 1. std components: d = 1000.000000 mm, h = 0.000000, v = 0.000000 deg. Level Compensation OFF
20230613,  LH2 (10mm),  TG-16,  -40.459278,  675.104232,  -41.974150,  6.350000,  6.350000,  ,  ,  ,  ,  ,  ,  ,  ,  0.015029,  0.014522,  0.014535,  0.025456,  ,  ,  ,  06/13/23 10:24:16,  ,  AT960-LR 750836,  Reflector 'T-Probe #238~#000266 (12.7 mm)' ADM Offset = 0.000000 mm,  Target 'T-Probe #238~#000266 (12.7 mm)',  RMS Error 0.028416 mm,  Weather:T=23.3C,P=971.6hPA(mbar),H=35.1%,  Measure Time Discrete Point Standard Pt. To SA Parameters:,  Start Trigger= Taste/Verzögert,  Messverzögerung=0.000000,  Measure Time (Sec)=1.500000,  Punkte=1,  Lage I/II=Falsch,  Face 1. std components: d = 1000.000000 mm, h = 0.000000, v = 0.000000 deg. Level Compensation OFF
