// SpatialAnalyzer SA 2021.3.1012.1 ( x64 )  
// Points Relative to Coordinate Frame 'Messung::WORLD'
// AXES = CARTESIAN: X,  Y,  Z (mm)
// Collection,  Group,  Point,  X,  Y,  Z,  [Planar Offset],  [Radial Offset],  [Timestamp],  [Notes],  [Most Recent Active Measurement Details]

Messung,  new 1,  60-25,  -225169.350000,  660287.570000,  9991.210000,  0.000000,  0.000000,  00:00:00,  ,  
Messung,  new 1,  60-30,  -229994.730000,  660008.320000,  9989.780000,  0.000000,  0.000000,  00:00:00,  ,  
Messung,  new 1,  60-42,  0.000000,  0.000000,  9990.190000,  0.000000,  0.000000,  00:00:00,  ,  
Messung,  new 1,  60-45,  -245168.930000,  660021.360000,  0.000000,  0.000000,  0.000000,  00:00:00,  ,  
Messung,  new 1,  61-15,  -214620.770000,  660924.030000,  9991.530000,  0.000000,  0.000000,  00:00:00,  ,  
Messung,  new 1,  61-22,  -221812.630000,  661485.080000,  9992.310000,  0.000000,  0.000000,  00:00:00,  ,  
Messung,  new 1,  63-12,  -211744.040000,  663040.150000,  -1501.130000,  0.000000,  0.000000,  00:00:00,  ,  
Messung,  new 1,  63-26,  -226197.540000,  662985.950000,  9994.360000,  0.000000,  0.000000,  00:00:00,  ,  
Messung,  new 1,  64-05,  -205110.140000,  664323.030000,  0.000000,  0.000000,  0.000000,  00:00:00,  ,  
Messung,  new 1,  64-23,  -223839.150000,  663748.490000,  9995.730000,  0.000000,  0.000000,  00:00:00,  ,  
Messung,  new 1,  65-01,  0.000000,  0.000000,  -1506.300000,  0.000000,  0.000000,  00:00:00,  ,  
Messung,  new 1,  65-04,  -204446.500000,  665417.680000,  9995.210000,  0.000000,  0.000000,  00:00:00,  ,  
Messung,  new 1,  65-35,  -235117.030000,  665241.640000,  9991.010000,  0.000000,  0.000000,  00:00:00,  ,  
Messung,  new 1,  65-41,  -241191.980000,  665078.950000,  9992.100000,  0.000000,  0.000000,  00:00:00,  ,  
Messung,  new 1,  67-15,  -214956.610000,  667325.320000,  -1501.950000,  0.000000,  0.000000,  00:00:00,  ,  
Messung,  new 1,  68-30,  -229912.120000,  668380.690000,  9994.760000,  0.000000,  0.000000,  00:00:00,  ,  
Messung,  new 1,  68-36,  -236111.540000,  667971.440000,  9992.390000,  0.000000,  0.000000,  00:00:00,  ,  
Messung,  new 1,  69-01,  -200767.010000,  668799.660000,  -1507.920000,  0.000000,  0.000000,  00:00:00,  ,  
Messung,  new 1,  69-04,  -204455.910000,  668800.790000,  -1506.200000,  0.000000,  0.000000,  00:00:00,  ,  
Messung,  new 1,  69-32,  -231973.030000,  669098.390000,  9995.650000,  0.000000,  0.000000,  00:00:00,  ,  
Messung,  new 1,  700-01,  -200987.590000,  699853.120000,  9993.490000,  0.000000,  0.000000,  00:00:00,  ,  
Messung,  new 1,  700-11,  -210993.540000,  699823.700000,  9994.230000,  0.000000,  0.000000,  00:00:00,  ,  
Messung,  new 1,  70-10,  -209939.800000,  670013.290000,  -1508.790000,  0.000000,  0.000000,  00:00:00,  ,  
Messung,  new 1,  70-20,  -219994.630000,  670009.750000,  -1508.060000,  0.000000,  0.000000,  00:00:00,  ,  
Messung,  new 1,  70-30,  -229993.940000,  670005.370000,  9989.710000,  0.000000,  0.000000,  00:00:00,  ,  
Messung,  new 1,  70-40,  -239995.860000,  670001.850000,  9988.860000,  0.000000,  0.000000,  00:00:00,  ,  
Messung,  new 1,  71-41,  -240850.330000,  670671.110000,  9994.580000,  0.000000,  0.000000,  00:00:00,  ,  
Messung,  new 1,  72-35,  -234706.460000,  672124.120000,  9996.730000,  0.000000,  0.000000,  00:00:00,  ,  
Messung,  new 1,  73-12,  -212052.270000,  672643.350000,  -1502.740000,  0.000000,  0.000000,  00:00:00,  ,  
Messung,  new 1,  80-09,  -208781.360000,  680560.900000,  -1499.640000,  0.000000,  0.000000,  00:00:00,  ,  
Messung,  new 1,  80-10,  -210000.770000,  680002.630000,  -1507.550000,  0.000000,  0.000000,  00:00:00,  ,  
Messung,  new 1,  80-20,  -219990.600000,  680003.230000,  9989.760000,  0.000000,  0.000000,  00:00:00,  ,  
Messung,  new 1,  80-30,  -229995.560000,  680003.430000,  9991.350000,  0.000000,  0.000000,  00:00:00,  ,  
Messung,  new 1,  80-40,  -239996.610000,  680001.860000,  -1508.440000,  0.000000,  0.000000,  00:00:00,  ,  
Messung,  new 1,  83-24,  -224515.440000,  683111.580000,  9995.200000,  0.000000,  0.000000,  00:00:00,  ,  
Messung,  new 1,  87-01,  -200972.670000,  686852.490000,  9996.280000,  0.000000,  0.000000,  00:00:00,  ,  
Messung,  new 1,  90-02,  -202002.960000,  690025.150000,  0.000000,  0.000000,  0.000000,  00:00:00,  ,  
Messung,  new 1,  90-04,  -204267.900000,  690243.330000,  9993.480000,  0.000000,  0.000000,  00:00:00,  ,  
Messung,  new 1,  90-10,  -209998.880000,  690016.820000,  -1504.440000,  0.000000,  0.000000,  00:00:00,  ,  
Messung,  new 1,  90-20,  -219892.710000,  689981.600000,  0.000000,  0.000000,  0.000000,  00:00:00,  ,  
Messung,  new 1,  90-30,  -229996.430000,  689996.690000,  0.000000,  0.000000,  0.000000,  00:00:00,  ,  
Messung,  new 1,  90-40,  -239989.640000,  689985.500000,  -1505.820000,  0.000000,  0.000000,  00:00:00,  ,  
Messung,  new 1,  91-11,  -210993.070000,  691460.490000,  9988.850000,  0.000000,  0.000000,  00:00:00,  ,  
Messung,  new 1,  93-06,  -206066.690000,  693101.570000,  9994.110000,  0.000000,  0.000000,  00:00:00,  ,  
Messung,  new 1,  95-15,  -214991.230000,  695008.820000,  0.000000,  0.000000,  0.000000,  00:00:00,  ,  
Messung,  new 1,  95-25,  -224978.850000,  694997.100000,  0.000000,  0.000000,  0.000000,  00:00:00,  ,  
Messung,  new 1,  ABK1,  -200707.000000,  650847.880000,  0.000000,  0.000000,  0.000000,  00:00:00,  ,  
Messung,  new 1,  ABK2,  -193989.490000,  657565.390000,  0.000000,  0.000000,  0.000000,  00:00:00,  ,  
Messung,  new 1,  ABK3,  -193989.490000,  657565.390000,  0.000000,  0.000000,  0.000000,  00:00:00,  ,  
Messung,  new 1,  ABS,  -201204.000000,  628242.880000,  0.000000,  0.000000,  0.000000,  00:00:00,  ,  
Messung,  new 1,  ABT,  -200707.000000,  632604.880000,  0.000000,  0.000000,  0.000000,  00:00:00,  ,  
Messung,  new 1,  ACDY1,  -180274.450000,  671280.430000,  0.000000,  0.000000,  0.000000,  00:00:00,  ,  
