Aufmass Target eingebaut,  Targetposition home,  TC-12,  -1.667105,  739.851604,  -0.785431,  6.350000,  6.350000,  05/17/22 10:39:40,  ,  AT960-LR 750836,  Reflector 'T-Probe #238~#000266 (12.7 mm)' ADM Offset = 0.000000 mm,  Target 'T-Probe #238~#000266 (12.7 mm)',  RMS Error 0.068011 mm,  Weather:T=24.0C,P=982.7hPA(mbar),H=49.9%,  Measure Time Discrete Point Fast Pt. To SA Parameters:,  Start Trigger= Taste/Verzögert,  Messverzögerung=0.000000,  Measure Time (Sec)=0.500000,  Punkte=1,  Lage I/II=Falsch,  Face 1. std components: d = 1000.000000 mm, h = 0.000000, v = 0.000000 deg. Level Compensation OFF
Aufmass Target eingebaut,  Targetposition home,  TC-10,  -3.852182,  664.130174,  55.927536,  6.350000,  6.350000,  05/17/22 10:39:45,  ,  AT960-LR 750836,  Reflector 'T-Probe #238~#000266 (12.7 mm)' ADM Offset = 0.000000 mm,  Target 'T-Probe #238~#000266 (12.7 mm)',  RMS Error 0.032447 mm,  Weather:T=24.0C,P=982.7hPA(mbar),H=49.9%,  Measure Time Discrete Point Fast Pt. To SA Parameters:,  Start Trigger= Taste/Verzögert,  Messverzögerung=0.000000,  Measure Time (Sec)=0.500000,  Punkte=1,  Lage I/II=Falsch,  Face 1. std components: d = 1000.000000 mm, h = 0.000000, v = 0.000000 deg. Level Compensation OFF
Aufmass Target eingebaut,  Targetposition home,  TC-2,  41.620023,  663.226983,  -43.443166,  6.350000,  6.350000,  05/17/22 10:39:52,  ,  AT960-LR 750836,  Reflector 'T-Probe #238~#000266 (12.7 mm)' ADM Offset = 0.000000 mm,  Target 'T-Probe #238~#000266 (12.7 mm)',  RMS Error 0.034424 mm,  Weather:T=24.0C,P=982.7hPA(mbar),H=49.9%,  Measure Time Discrete Point Fast Pt. To SA Parameters:,  Start Trigger= Taste/Verzögert,  Messverzögerung=0.000000,  Measure Time (Sec)=0.500000,  Punkte=1,  Lage I/II=Falsch,  Face 1. std components: d = 1000.000000 mm, h = 0.000000, v = 0.000000 deg. Level Compensation OFF
Aufmass Target eingebaut,  Targetposition home,  TC-11,  50.825531,  556.841638,  55.650661,  6.350000,  6.350000,  05/17/22 10:39:58,  ,  AT960-LR 750836,  Reflector 'T-Probe #238~#000266 (12.7 mm)' ADM Offset = 0.000000 mm,  Target 'T-Probe #238~#000266 (12.7 mm)',  RMS Error 0.056012 mm,  Weather:T=24.0C,P=982.7hPA(mbar),H=49.9%,  Measure Time Discrete Point Fast Pt. To SA Parameters:,  Start Trigger= Taste/Verzögert,  Messverzögerung=0.000000,  Measure Time (Sec)=0.500000,  Punkte=1,  Lage I/II=Falsch,  Face 1. std components: d = 1000.000000 mm, h = 0.000000, v = 0.000000 deg. Level Compensation OFF
Aufmass Target eingebaut,  Targetposition home,  TC-4,  -51.620741,  556.918058,  -61.017610,  6.350000,  6.350000,  05/17/22 10:40:14,  ,  AT960-LR 750836,  Reflector 'T-Probe #238~#000266 (12.7 mm)' ADM Offset = 0.000000 mm,  Target 'T-Probe #238~#000266 (12.7 mm)',  RMS Error 0.025998 mm,  Weather:T=24.0C,P=982.7hPA(mbar),H=49.9%,  Measure Time Discrete Point Fast Pt. To SA Parameters:,  Start Trigger= Taste/Verzögert,  Messverzögerung=0.000000,  Measure Time (Sec)=0.500000,  Punkte=1,  Lage I/II=Falsch,  Face 1. std components: d = 1000.000000 mm, h = 0.000000, v = 0.000000 deg. Level Compensation OFF
Aufmass Target eingebaut,  Targetposition home,  TC-13,  2.005933,  450.626019,  79.258656,  6.350000,  6.350000,  05/17/22 10:40:23,  ,  AT960-LR 750836,  Reflector 'T-Probe #238~#000266 (12.7 mm)' ADM Offset = 0.000000 mm,  Target 'T-Probe #238~#000266 (12.7 mm)',  RMS Error 0.021302 mm,  Weather:T=24.0C,P=982.7hPA(mbar),H=49.9%,  Measure Time Discrete Point Fast Pt. To SA Parameters:,  Start Trigger= Taste/Verzögert,  Messverzögerung=0.000000,  Measure Time (Sec)=0.500000,  Punkte=1,  Lage I/II=Falsch,  Face 1. std components: d = 1000.000000 mm, h = 0.000000, v = 0.000000 deg. Level Compensation OFF
Aufmass Target eingebaut,  Targetposition home,  TC-7,  53.572755,  450.235156,  -60.390245,  6.350000,  6.350000,  05/17/22 10:40:33,  ,  AT960-LR 750836,  Reflector 'T-Probe #238~#000266 (12.7 mm)' ADM Offset = 0.000000 mm,  Target 'T-Probe #238~#000266 (12.7 mm)',  RMS Error 0.037972 mm,  Weather:T=24.0C,P=982.7hPA(mbar),H=49.9%,  Measure Time Discrete Point Fast Pt. To SA Parameters:,  Start Trigger= Taste/Verzögert,  Messverzögerung=0.000000,  Measure Time (Sec)=0.500000,  Punkte=1,  Lage I/II=Falsch,  Face 1. std components: d = 1000.000000 mm, h = 0.000000, v = 0.000000 deg. Level Compensation OFF
Aufmass Target eingebaut,  Targetposition 336 - 3,  TC-11,  51.882373,  892.839776,  54.920758,  6.350000,  6.350000,  05/17/22 10:46:36,  ,  AT960-LR 750836,  Reflector 'T-Probe #238~#000266 (12.7 mm)' ADM Offset = 0.000000 mm,  Target 'T-Probe #238~#000266 (12.7 mm)',  RMS Error 0.034731 mm,  Weather:T=24.0C,P=982.7hPA(mbar),H=49.9%,  Measure Time Discrete Point Fast Pt. To SA Parameters:,  Start Trigger= Taste/Verzögert,  Messverzögerung=0.000000,  Measure Time (Sec)=0.500000,  Punkte=1,  Lage I/II=Falsch,  Face 1. std components: d = 1000.000000 mm, h = 0.000000, v = 0.000000 deg. Level Compensation OFF
Aufmass Target eingebaut,  Targetposition 336 - 3,  TC-6,  87.674989,  893.187131,  -11.193415,  6.350000,  6.350000,  05/17/22 10:46:53,  ,  AT960-LR 750836,  Reflector 'T-Probe #238~#000266 (12.7 mm)' ADM Offset = 0.000000 mm,  Target 'T-Probe #238~#000266 (12.7 mm)',  RMS Error 0.026703 mm,  Weather:T=24.0C,P=982.7hPA(mbar),H=49.9%,  Measure Time Discrete Point Fast Pt. To SA Parameters:,  Start Trigger= Taste/Verzögert,  Messverzögerung=0.000000,  Measure Time (Sec)=0.500000,  Punkte=1,  Lage I/II=Falsch,  Face 1. std components: d = 1000.000000 mm, h = 0.000000, v = 0.000000 deg. Level Compensation OFF
Aufmass Target eingebaut,  Targetposition 336 - 3,  TC-5,  58.901839,  892.414263,  -55.060224,  6.350000,  6.350000,  05/17/22 10:46:59,  ,  AT960-LR 750836,  Reflector 'T-Probe #238~#000266 (12.7 mm)' ADM Offset = 0.000000 mm,  Target 'T-Probe #238~#000266 (12.7 mm)',  RMS Error 0.039102 mm,  Weather:T=24.0C,P=982.7hPA(mbar),H=49.9%,  Measure Time Discrete Point Fast Pt. To SA Parameters:,  Start Trigger= Taste/Verzögert,  Messverzögerung=0.000000,  Measure Time (Sec)=0.500000,  Punkte=1,  Lage I/II=Falsch,  Face 1. std components: d = 1000.000000 mm, h = 0.000000, v = 0.000000 deg. Level Compensation OFF
Aufmass Target eingebaut,  Targetposition 336 - 3,  TC-2,  42.683217,  999.163587,  -44.264033,  6.350000,  6.350000,  05/17/22 10:47:06,  ,  AT960-LR 750836,  Reflector 'T-Probe #238~#000266 (12.7 mm)' ADM Offset = 0.000000 mm,  Target 'T-Probe #238~#000266 (12.7 mm)',  RMS Error 0.018709 mm,  Weather:T=24.0C,P=982.7hPA(mbar),H=49.9%,  Measure Time Discrete Point Fast Pt. To SA Parameters:,  Start Trigger= Taste/Verzögert,  Messverzögerung=0.000000,  Measure Time (Sec)=0.500000,  Punkte=1,  Lage I/II=Falsch,  Face 1. std components: d = 1000.000000 mm, h = 0.000000, v = 0.000000 deg. Level Compensation OFF
Aufmass Target eingebaut,  Targetposition 336 - 3,  TC-10,  -2.716344,  1000.060028,  55.141341,  6.350000,  6.350000,  05/17/22 10:47:11,  ,  AT960-LR 750836,  Reflector 'T-Probe #238~#000266 (12.7 mm)' ADM Offset = 0.000000 mm,  Target 'T-Probe #238~#000266 (12.7 mm)',  RMS Error 0.009396 mm,  Weather:T=24.0C,P=982.7hPA(mbar),H=49.9%,  Measure Time Discrete Point Fast Pt. To SA Parameters:,  Start Trigger= Taste/Verzögert,  Messverzögerung=0.000000,  Measure Time (Sec)=0.500000,  Punkte=1,  Lage I/II=Falsch,  Face 1. std components: d = 1000.000000 mm, h = 0.000000, v = 0.000000 deg. Level Compensation OFF
Aufmass Target eingebaut,  Targetposition 336 - 3,  TC-1,  21.463788,  1076.528682,  30.560549,  6.350000,  6.350000,  05/17/22 10:47:16,  ,  AT960-LR 750836,  Reflector 'T-Probe #238~#000266 (12.7 mm)' ADM Offset = 0.000000 mm,  Target 'T-Probe #238~#000266 (12.7 mm)',  RMS Error 0.029561 mm,  Weather:T=24.0C,P=982.7hPA(mbar),H=49.9%,  Measure Time Discrete Point Fast Pt. To SA Parameters:,  Start Trigger= Taste/Verzögert,  Messverzögerung=0.000000,  Measure Time (Sec)=0.500000,  Punkte=1,  Lage I/II=Falsch,  Face 1. std components: d = 1000.000000 mm, h = 0.000000, v = 0.000000 deg. Level Compensation OFF
Aufmass Target eingebaut,  Targetposition 336 - 3,  TC-12,  -0.581543,  1075.766668,  -1.641188,  6.350000,  6.350000,  05/17/22 10:47:21,  ,  AT960-LR 750836,  Reflector 'T-Probe #238~#000266 (12.7 mm)' ADM Offset = 0.000000 mm,  Target 'T-Probe #238~#000266 (12.7 mm)',  RMS Error 0.013878 mm,  Weather:T=24.0C,P=982.7hPA(mbar),H=49.9%,  Measure Time Discrete Point Fast Pt. To SA Parameters:,  Start Trigger= Taste/Verzögert,  Messverzögerung=0.000000,  Measure Time (Sec)=0.500000,  Punkte=1,  Lage I/II=Falsch,  Face 1. std components: d = 1000.000000 mm, h = 0.000000, v = 0.000000 deg. Level Compensation OFF
Aufmass Target eingebaut,  Targetposition 336 - 3,  TC-9,  7.495324,  1077.233908,  -37.580708,  6.350000,  6.350000,  05/17/22 10:47:26,  ,  AT960-LR 750836,  Reflector 'T-Probe #238~#000266 (12.7 mm)' ADM Offset = 0.000000 mm,  Target 'T-Probe #238~#000266 (12.7 mm)',  RMS Error 0.014682 mm,  Weather:T=24.0C,P=982.7hPA(mbar),H=49.9%,  Measure Time Discrete Point Fast Pt. To SA Parameters:,  Start Trigger= Taste/Verzögert,  Messverzögerung=0.000000,  Measure Time (Sec)=0.500000,  Punkte=1,  Lage I/II=Falsch,  Face 1. std components: d = 1000.000000 mm, h = 0.000000, v = 0.000000 deg. Level Compensation OFF
Aufmass Target eingebaut,  Targetposition 336 - 3,  TC-7,  54.745287,  786.147556,  -61.162454,  6.350000,  6.350000,  05/17/22 10:47:33,  ,  AT960-LR 750836,  Reflector 'T-Probe #238~#000266 (12.7 mm)' ADM Offset = 0.000000 mm,  Target 'T-Probe #238~#000266 (12.7 mm)',  RMS Error 0.026333 mm,  Weather:T=24.0C,P=982.7hPA(mbar),H=49.9%,  Measure Time Discrete Point Fast Pt. To SA Parameters:,  Start Trigger= Taste/Verzögert,  Messverzögerung=0.000000,  Measure Time (Sec)=0.500000,  Punkte=1,  Lage I/II=Falsch,  Face 1. std components: d = 1000.000000 mm, h = 0.000000, v = 0.000000 deg. Level Compensation OFF
Aufmass Target eingebaut,  Targetposition 336 - 3,  TC-13,  3.215272,  786.578426,  78.514830,  6.350000,  6.350000,  05/17/22 10:47:40,  ,  AT960-LR 750836,  Reflector 'T-Probe #238~#000266 (12.7 mm)' ADM Offset = 0.000000 mm,  Target 'T-Probe #238~#000266 (12.7 mm)',  RMS Error 0.017380 mm,  Weather:T=24.0C,P=982.7hPA(mbar),H=49.9%,  Measure Time Discrete Point Fast Pt. To SA Parameters:,  Start Trigger= Taste/Verzögert,  Messverzögerung=0.000000,  Measure Time (Sec)=0.500000,  Punkte=1,  Lage I/II=Falsch,  Face 1. std components: d = 1000.000000 mm, h = 0.000000, v = 0.000000 deg. Level Compensation OFF
Aufmass Target eingebaut,  Targetposition 336 - 3,  TC-4,  -50.543662,  892.834566,  -61.739823,  6.350000,  6.350000,  05/17/22 10:48:18,  ,  AT960-LR 750836,  Reflector 'T-Probe #238~#000266 (12.7 mm)' ADM Offset = 0.000000 mm,  Target 'T-Probe #238~#000266 (12.7 mm)',  RMS Error 0.009312 mm,  Weather:T=24.0C,P=982.7hPA(mbar),H=49.9%,  Measure Time Discrete Point Fast Pt. To SA Parameters:,  Start Trigger= Taste/Verzögert,  Messverzögerung=0.000000,  Measure Time (Sec)=0.500000,  Punkte=1,  Lage I/II=Falsch,  Face 1. std components: d = 1000.000000 mm, h = 0.000000, v = 0.000000 deg. Level Compensation OFF
