// SpatialAnalyzer SA 2023.1.0525.4 ( x64 )  
// Punkte relativ zum Koordiantensystem '20230914::WORLD*'
// 68.26% Vertrauensbereich (1.0 sigma)
// UNCERTAINTY: U-x,  U-y,  U-z
// AXES = CARTESIAN: X,  Y,  Z (mm)
// Collection,  Group,  Point,  X,  Y,  Z,  [Planar Offset],  [Radial Offset],  [HighTol-x],  [LowTol-x],  [HighTol-y],  [LowTol-y],  [HighTol-z],  [LowTol-z],  [HighTol-mag],  [LowTol-mag],  [U-x],  [U-y],  [U-z],  [U-mag],  [W-x],  [W-y],  [W-z],  [Timestamp],  [Notes],  [Most Recent Active Measurement Details]

20230914,  Panel6_aufn,  M10,  431.444236,  861.805398,  180.278690,  6.350000,  6.350000,  ,  ,  ,  ,  ,  ,  ,  ,  0.012790,  0.011536,  0.011656,  0.020798,  ,  ,  ,  09/14/23 11:09:52,  ,  AT960-LR 750836,  Reflector 'RRR 0.5in' ADM Offset = 0.000000 mm,  Target 'SMR: RRR 0.5in',  RMS Error 0.004796 mm,  Weather:T=25.3C,P=982.2hPA(mbar),H=56.9%,  Measure Time Discrete Point Fast Pt. To SA Parameters:,  Start Trigger= Taste/Verzögert,  Messverzögerung=0.000000,  Measure Time (Sec)=0.500000,  Punkte=1,  Lage I/II=Falsch,  std components: d = 0.001929 mm, h = 0.000090, v = 0.000069 deg. Level Compensation OFF
20230914,  Panel6_aufn,  M11,  431.414411,  901.825541,  180.276520,  6.350000,  6.350000,  ,  ,  ,  ,  ,  ,  ,  ,  0.012818,  0.011627,  0.011715,  0.020898,  ,  ,  ,  09/14/23 11:09:57,  ,  AT960-LR 750836,  Reflector 'RRR 0.5in' ADM Offset = 0.000000 mm,  Target 'SMR: RRR 0.5in',  RMS Error 0.007286 mm,  Weather:T=25.3C,P=982.2hPA(mbar),H=56.9%,  Measure Time Discrete Point Fast Pt. To SA Parameters:,  Start Trigger= Taste/Verzögert,  Messverzögerung=0.000000,  Measure Time (Sec)=0.500000,  Punkte=1,  Lage I/II=Falsch,  std components: d = 0.002334 mm, h = 0.000122, v = 0.000126 deg. Level Compensation OFF
20230914,  Panel6_aufn,  M12,  491.760069,  654.908569,  -381.040707,  6.350000,  6.350000,  ,  ,  ,  ,  ,  ,  ,  ,  0.012303,  0.010077,  0.009912,  0.018739,  ,  ,  ,  09/14/23 11:11:59,  ,  AT960-LR 750836,  Reflector 'RRR 0.5in' ADM Offset = 0.000000 mm,  Target 'SMR: RRR 0.5in',  RMS Error 0.006480 mm,  Weather:T=25.3C,P=982.2hPA(mbar),H=56.9%,  Measure Time Discrete Point Fast Pt. To SA Parameters:,  Start Trigger= Taste/Verzögert,  Messverzögerung=0.000000,  Measure Time (Sec)=0.500000,  Punkte=1,  Lage I/II=Falsch,  std components: d = 0.002540 mm, h = 0.000143, v = 0.000102 deg. Level Compensation OFF
20230914,  Positioniere Instr.1*,  PIM1_4,  3276.730540,  519.399618,  4013.298415,  19.050000,  19.050000,  ,  ,  ,  ,  ,  ,  ,  ,  0.019374,  0.021843,  0.021487,  0.036251,  ,  ,  ,  09/14/23 11:19:55,  ,  AT960-LR 750836,  Reflector 'RRR 1.5in' ADM Offset = 0.000000 mm,  Target 'SMR: RRR 1.5in',  RMS Error 0.039632 mm,  Weather:T=25.7C,P=982.2hPA(mbar),H=56.9%,  Measure Time Discrete Point Precise Pt. To SA Parameters:,  Start Trigger= Taste/Verzögert,  Messverzögerung=0.000000,  Measure Time (Sec)=3.000000,  Punkte=1,  Lage I/II=Falsch,  std components: d = 0.000330 mm, h = 0.000394, v = 0.000316 deg. Level Compensation OFF
20230914,  Positioniere Instr.1*,  PIM1_6,  1528.223561,  390.520463,  3661.039766,  19.050000,  19.050000,  ,  ,  ,  ,  ,  ,  ,  ,  0.014295,  0.013471,  0.013712,  0.023955,  ,  ,  ,  09/14/23 11:20:14,  ,  AT960-LR 750836,  Reflector 'RRR 1.5in' ADM Offset = 0.000000 mm,  Target 'SMR: RRR 1.5in',  RMS Error 0.017673 mm,  Weather:T=25.7C,P=982.2hPA(mbar),H=56.9%,  Measure Time Discrete Point Precise Pt. To SA Parameters:,  Start Trigger= Taste/Verzögert,  Messverzögerung=0.000000,  Measure Time (Sec)=3.000000,  Punkte=1,  Lage I/II=Falsch,  std components: d = 0.000195 mm, h = 0.000226, v = 0.000288 deg. Level Compensation OFF
20230914,  Positioniere Instr.1*,  PIM1_7,  -1372.673922,  428.575776,  3426.205070,  19.050000,  19.050000,  ,  ,  ,  ,  ,  ,  ,  ,  0.007001,  0.006681,  0.009818,  0.013786,  ,  ,  ,  09/14/23 11:20:31,  ,  AT960-LR 750836,  Reflector 'RRR 1.5in' ADM Offset = 0.000000 mm,  Target 'SMR: RRR 1.5in',  RMS Error 0.006833 mm,  Weather:T=25.7C,P=982.2hPA(mbar),H=55.8%,  Measure Time Discrete Point Precise Pt. To SA Parameters:,  Start Trigger= Taste/Verzögert,  Messverzögerung=0.000000,  Measure Time (Sec)=3.000000,  Punkte=1,  Lage I/II=Falsch,  std components: d = 0.000110 mm, h = 0.000211, v = 0.000238 deg. Level Compensation OFF
20230914,  Positioniere Instr.1*,  PIM1_8,  -5931.141178,  425.245143,  3146.158749,  19.050000,  19.050000,  ,  ,  ,  ,  ,  ,  ,  ,  0.020585,  0.024830,  0.024752,  0.040656,  ,  ,  ,  09/14/23 11:20:47,  ,  AT960-LR 750836,  Reflector 'RRR 1.5in' ADM Offset = 0.000000 mm,  Target 'SMR: RRR 1.5in',  RMS Error 0.022126 mm,  Weather:T=25.7C,P=982.2hPA(mbar),H=55.8%,  Measure Time Discrete Point Precise Pt. To SA Parameters:,  Start Trigger= Taste/Verzögert,  Messverzögerung=0.000000,  Measure Time (Sec)=3.000000,  Punkte=1,  Lage I/II=Falsch,  std components: d = 0.000221 mm, h = 0.000201, v = 0.000145 deg. Level Compensation OFF
20230914,  Positioniere Instr.1*,  PIM1_11,  -1819.457741,  314.026909,  -1548.587676,  19.050000,  19.050000,  ,  ,  ,  ,  ,  ,  ,  ,  0.019322,  0.019407,  0.017742,  0.032630,  ,  ,  ,  09/14/23 11:22:43,  ,  AT960-LR 750836,  Reflector 'RRR 1.5in' ADM Offset = 0.000000 mm,  Target 'SMR: RRR 1.5in',  RMS Error 0.026961 mm,  Weather:T=25.7C,P=982.2hPA(mbar),H=55.8%,  Measure Time Discrete Point Precise Pt. To SA Parameters:,  Start Trigger= Taste/Verzögert,  Messverzögerung=0.000000,  Measure Time (Sec)=3.000000,  Punkte=1,  Lage I/II=Falsch,  std components: d = 0.000407 mm, h = 0.000268, v = 0.000278 deg. Level Compensation OFF
20230914,  Panel7_aufn,  PA7_6,  -251.799806,  -485.408202,  573.933581,  6.350000,  6.350000,  ,  ,  ,  ,  ,  ,  ,  ,  0.009793,  0.009681,  0.011991,  0.018259,  ,  ,  ,  09/14/23 11:24:24,  ,  AT960-LR 750836,  Reflector 'RRR 0.5in' ADM Offset = 0.000000 mm,  Target 'SMR: RRR 0.5in',  RMS Error 0.013859 mm,  Weather:T=25.7C,P=982.2hPA(mbar),H=55.8%,  Measure Time Discrete Point Fast Pt. To SA Parameters:,  Start Trigger= Taste/Verzögert,  Messverzögerung=0.000000,  Measure Time (Sec)=0.500000,  Punkte=1,  Lage I/II=Falsch,  std components: d = 0.000156 mm, h = 0.000296, v = 0.000292 deg. Level Compensation OFF
20230914,  Panel7_aufn,  PA7_7,  -629.367449,  -486.623557,  -78.457219,  6.350000,  6.350000,  ,  ,  ,  ,  ,  ,  ,  ,  0.012062,  0.012128,  0.013737,  0.021938,  ,  ,  ,  09/14/23 11:24:30,  ,  AT960-LR 750836,  Reflector 'RRR 0.5in' ADM Offset = 0.000000 mm,  Target 'SMR: RRR 0.5in',  RMS Error 0.010733 mm,  Weather:T=25.7C,P=982.2hPA(mbar),H=55.8%,  Measure Time Discrete Point Fast Pt. To SA Parameters:,  Start Trigger= Taste/Verzögert,  Messverzögerung=0.000000,  Measure Time (Sec)=0.500000,  Punkte=1,  Lage I/II=Falsch,  std components: d = 0.000174 mm, h = 0.000194, v = 0.000159 deg. Level Compensation OFF
